LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
15240,Mid-Coast,1,New South Wales,88806.48025463962,89297.94874838153,89929.6514889944,90456.47529132498,91027.10476909798,91790.3692274493,92901.47820457489,93902.05934397929,94827.32142857143,95731.39889943894,96475.56538627535,97224.49449719465,97905.89156236513
15270,Mid-Western,1,New South Wales,23020.91965153806,23343.098580637867,23741.5138825417,24059.12195912342,24372.713473279746,24544.628837613793,24887.020219640603,25178.203326083738,25414.021203029715,25586.98395432367,25711.519410520366,25787.242147124474,25914.468298681615
15300,Moree Plains,1,New South Wales,14072.451612903225,14003.139784946237,13949.207885304659,13877.89605734767,13761.308243727599,13653.996415770609,13500.824372759856,13358.928315412186,13218.032258064517,13050.964157706094,12967.344086021505,12881.275985663082,12886.275985663082
15350,Mosman,1,New South Wales,29351.0,29481.0,29641.0,29846.0,30045.0,30260.0,30299.0,30269.0,30020.0,29543.0,28466.0,28132.0,29071.0
15520,Murray River,1,New South Wales,11191.16237113402,11347.904639175258,11482.603092783505,11609.188144329897,11723.930412371134,11839.829896907217,12030.515463917525,12230.7293814433,12359.414948453608,12576.100515463917,12788.157216494845,13041.056701030928,13357.37113402062
15560,Murrumbidgee,1,New South Wales,3888.0,3882.0,3920.0,3900.0,3893.0,3929.0,3854.0,3809.0,3753.0,3625.0,3564.0,3566.0,3607.0
15650,Muswellbrook,1,New South Wales,16328.0,16398.0,16415.0,16431.0,16435.0,16462.0,16519.0,16520.0,16554.0,16539.0,16469.0,16540.0,16778.0
15700,Nambucca Valley,1,New South Wales,19235.0,19308.0,19425.0,19498.0,19538.0,19577.0,19787.0,19960.0,20150.0,20290.0,20382.0,20607.0,20774.0
15750,Narrabri,1,New South Wales,13438.0,13433.0,13489.0,13480.0,13459.0,13367.0,13300.0,13233.0,13146.0,12990.0,12808.0,12715.0,12749.0
15800,Narrandera,1,New South Wales,6112.274065934066,6073.106593406594,6041.691648351648,6002.62043956044,5965.804835164835,5936.6373626373625,5903.782417582418,5872.814945054945,5826.847472527473,5781.8881318681315,5727.560659340659,5702.681318681319,5684.041318681318
15850,Narromine,1,New South Wales,6836.563558402085,6795.742781155015,6761.169344333478,6721.437961354754,6668.367998263135,6618.298035171515,6599.795538428137,6588.203647416413,6569.6942032132,6524.853126356926,6452.508575770734,6436.005102040816,6453.087548849327
15900,Newcastle,1,New South Wales,155548.16094773306,156457.02430652134,157483.21274685816,158688.3309859155,159685.51249778745,160712.9235593092,162795.29872683136,164729.88766530962,166509.6422105343,168241.3782398159,169433.10643032342,171615.84393253596,174381.48908893217
15950,North Sydney,1,New South Wales,66687.42357276239,67601.07152521284,68635.02715121103,69719.27663639032,70822.72162037183,71768.89013890883,72298.40552364822,72349.70947298275,72151.23166228682,71424.65879548201,69465.63465040941,69357.69134504926,72111.85012888751
15990,Northern Beaches,1,New South Wales,251696.0,254115.0,257020.0,259723.0,262593.0,265468.0,267483.0,268390.0,268935.0,268164.0,264567.0,263340.0,267921.0
16100,Oberon,1,New South Wales,5224.205346657764,5240.5063206613095,5305.371284164959,5322.672258168505,5334.973232172051,5354.619309677865,5402.365113173225,5449.334822353727,5483.316574178544,5532.577828179327,5560.127403347993,5578.846715328467,5584.413352828755
16150,Orange,1,New South Wales,39414.0,39769.0,40167.0,40619.0,40837.0,41210.0,41800.0,42522.0,43115.0,43383.0,43750.0,43966.0,44260.0
16200,Parkes,1,New South Wales,15087.774504950496,15057.22508250825,15031.38894389439,15000.77896039604,14963.229537953795,14933.182343234323,14894.025660066007,14837.142326732674,14774.25899339934,14646.81287128713,14451.100577557756,14366.09612211221,14299.251072607261
16260,Parramatta,1,New South Wales,203131.20397111913,208098.61913357401,214454.91155234657,221026.20397111913,227565.3880866426,234360.68050541516,243159.86462093864,250837.26353790614,257474.12454873646,260415.66245487364,258528.70758122744,260297.52346570397,269023.44584837544
16350,Penrith,1,New South Wales,184597.43796228146,187271.42036994582,190517.3603170964,193755.78965213508,197669.12010569882,201587.5161987041,205516.33993749775,209577.56787769828,213533.5391121783,216920.75809935204,219238.9631260784,221013.14049736355,224580.06563944157
16380,Port Macquarie-Hastings,1,New South Wales,75249.39285714286,76277.60714285714,77049.92857142857,78055.46428571429,79004.53571428571,80079.64285714286,81386.85714285714,82779.92857142857,84167.67857142857,85499.60714285714,86638.42857142857,88263.53571428571,89552.82142857143
16400,Port Stephens,1,New South Wales,67244.12688821752,68015.44410876132,68753.41993957704,69541.06042296073,70260.35951661631,71118.98791540785,71827.66465256798,72607.01208459215,73507.0,74448.99395770393,75327.00604229607,76620.96978851964,77713.28700906344
16490,Queanbeyan-Palerang,1,New South Wales,54838.992994780674,55377.55988631478,55869.53933952836,56478.48461580486,57058.49739062897,57757.439486205934,59002.67022125288,60217.066695621776,61426.78761904115,62507.02588137068,63408.7443948223,64249.24394395628,65389.30484555584
16550,Randwick,1,New South Wales,137792.0,139836.0,142459.0,144814.0,146908.0,148922.0,149099.0,147552.0,145287.0,142499.0,135219.0,135750.0,141840.0
16610,Richmond Valley,1,New South Wales,22700.791673065807,22820.76650489639,22953.147572328904,23058.733714303267,23119.815421324078,23228.8933865928,23336.294817952592,23443.739005810887,23524.197149147913,23593.154630697445,23596.28546985516,23761.10070548781,23784.61743796091
16700,Ryde,1,New South Wales,108714.0,111156.0,113547.0,115843.0,118499.0,121270.0,124095.0,126364.0,129738.0,130999.0,129813.0,131152.0,135642.0
16900,Shellharbour,1,New South Wales,66218.0,66840.0,67701.0,68658.0,69474.0,70391.0,71303.0,72318.0,73370.0,74941.0,76492.0,78330.0,79738.0
16950,Shoalhaven,1,New South Wales,96201.37639183456,97174.25384590583,98104.63935362987,99298.93317761028,100555.61470723109,101949.39386410535,103123.54601652289,104490.36732968387,105782.09916776532,107247.73203870625,108551.17292962369,109567.53811333868,109850.8764348256
17000,Singleton,1,New South Wales,23520.144444444446,23553.17777777778,23562.17777777778,23602.603703703702,23591.63703703704,23581.785185185185,23808.014814814815,24038.425925925927,24311.91851851852,24505.951851851853,24727.91851851852,25111.296296296296,25395.903703703705
17040,Snowy Monaro,1,New South Wales,20392.22990613725,20433.005077238136,20477.565580828013,20505.021357467274,20532.51988798874,20590.177650673115,20791.419141598093,20970.102547088813,21190.50834478175,21437.65378925567,21664.786855177703,21816.970520136594,22115.298488677425
17080,Snowy Valleys,1,New South Wales,14757.0,14741.0,14720.0,14690.0,14640.0,14611.0,14693.0,14751.0,14817.0,14889.0,14900.0,14912.0,14914.0
17100,Strathfield,1,New South Wales,37236.07317073171,37965.05853658536,38915.08780487805,40298.13170731707,41273.1756097561,42412.15365853658,43679.05121951219,44663.03658536585,45895.06585365854,46417.08780487805,45963.02195121951,46195.10243902439,47721.11707317073
17150,Sutherland,1,New South Wales,220254.0,221220.0,222549.0,223921.0,225218.0,226461.0,227428.0,228239.0,229213.0,230379.0,230994.0,231900.0,235076.0
17200,Sydney,1,New South Wales,183283.5,189560.0,196333.5,204529.0,214064.5,222726.5,227999.5,229286.5,229598.0,227252.0,214705.0,218176.0,230911.5
17310,Tamworth,1,New South Wales,58161.87653064132,58663.427818182245,59205.65397114869,59836.24621952366,60398.03249399369,60956.07755447697,61754.97888857289,62507.8263101849,63180.28286951656,63402.35111700735,63667.27987709019,64499.27313747201,65219.092600735225
17350,Temora,1,New South Wales,5943.639344262295,5994.55737704918,6048.229508196721,6091.065573770492,6157.901639344263,6202.819672131148,6162.6557377049185,6138.491803278688,6117.4098360655735,6078.245901639344,6014.0,5983.0,6003.0
17400,Tenterfield,1,New South Wales,6990.0,6925.0,6834.0,6769.0,6713.0,6697.0,6728.0,6767.0,6794.0,6779.0,6800.0,6878.0,6973.0
17420,The Hills,1,New South Wales,147865.3414834263,150013.83541188054,152503.36117492616,155440.0687561536,159018.88464063013,163052.68313094848,168397.86265178866,173063.82737118477,180099.6027239908,186618.24663603544,192657.5651460453,199031.2038070233,207354.1905152609
17550,Tweed,1,New South Wales,88437.0,89266.0,90226.0,91139.0,92261.0,93742.0,94597.0,95355.0,96068.0,96857.0,97216.0,97966.0,98967.0
17620,Upper Hunter,1,New South Wales,14209.630136986301,14391.547945205479,14517.369863013699,14511.27397260274,14415.191780821919,14347.123287671233,14319.09589041096,14299.054794520549,14292.027397260274,14297.0,14258.972602739726,14292.0,14339.04109589041
17640,Upper Lachlan,1,New South Wales,7512.590130671583,7620.725729695013,7642.4459615904,7771.400353991376,7853.208293694045,7903.509748803584,8003.402215696825,8095.606641283213,8218.479852906188,8378.241197023133,8493.451256406717,8585.162894530718,8672.612489126954
17650,Uralla,1,New South Wales,6291.375635638905,6277.249153201849,6285.284271129056,6270.353258014322,6225.605187488366,6180.112160014994,6157.0312186812625,6145.396586936025,6121.4592334583185,6057.153293561567,5993.792234589445,5975.202332831751,6039.8617359397595
17750,Wagga Wagga,1,New South Wales,61816.28143712575,62094.341317365266,62405.5868263473,62765.251497005986,63314.91616766467,63892.976047904194,64768.844311377245,65619.40119760479,66412.21556886227,67277.90419161676,67892.60479041917,68382.04790419161,68812.04790419161
17850,Walcha,1,New South Wales,3166.4735632183906,3168.557701149425,3174.2432183908045,3173.7806896551724,3152.0128735632184,3154.308965517241,3135.864827586207,3107.8740229885057,3088.1885057471263,3055.43908045977,3017.1429885057473,3017.7241379310344,2983.0496551724136
17900,Walgett,1,New South Wales,6802.933734939759,6697.8373493975905,6591.891566265061,6509.493975903614,6416.3975903614455,6314.451807228916,6169.451807228916,6007.150602409639,5872.0,5704.0,5590.698795180723,5522.150602409639,5520.301204819277
17950,Warren,1,New South Wales,2842.307779581429,2845.1021776274833,2824.41150538117,2795.760389945182,2769.267131730524,2779.2203541753456,2730.428114076619,2701.4428332430666,2649.821586260484,2622.367926274653,2572.1353050155694,2553.830852302874,2560.6580440485805
18020,Warrumbungle,1,New South Wales,9918.0,9849.0,9743.0,9689.0,9622.0,9562.0,9489.0,9454.0,9377.0,9358.0,9256.0,9248.0,9232.0
18050,Waverley,1,New South Wales,68698.0,69294.0,70052.0,70742.0,71336.0,72013.0,72507.0,72609.0,72485.0,71880.0,69397.0,69357.0,71414.0
18100,Weddin,1,New South Wales,3757.456790123457,3741.1111111111113,3726.477366255144,3709.1893004115227,3691.7283950617284,3680.382716049383,3672.1522633744858,3655.9218106995886,3635.7489711934154,3618.5761316872427,3592.3456790123455,3614.4609053497943,3611.1728395061727
18200,Wentworth,1,New South Wales,6837.0,6847.0,6848.0,6877.0,6890.0,6932.0,7052.0,7185.0,7284.0,7389.0,7490.0,7592.0,7684.0
18250,Willoughby,1,New South Wales,71200.57642723761,72147.92847478716,73102.97284878895,74272.72336360968,76007.27837962817,77928.10986109117,78878.59447635178,78801.29052701725,78833.76833771318,78571.34120451799,76049.36534959059,75525.30865495074,77781.14987111249
18350,Wingecarribee,1,New South Wales,46144.126034187066,46494.45656960954,46991.22177046288,47497.96494667914,48180.182557572356,49030.05071497354,49793.79151094276,50564.00766868322,51304.70164912652,52021.28267233548,52492.80303660231,52831.27389699886,53163.451483696525
18400,Wollondilly,1,New South Wales,44556.77068029596,45391.85513529758,46351.39900683677,47396.46461960856,48510.37496417212,49800.50365318564,50909.62410142717,51969.77124293747,52824.26584059637,53615.04848189242,54193.457282262345,55884.77134820434,57727.78484920417
